"Date","State","District","Confirmed","Recovered","Deceased","Other","Tested","Daily_confirmed","Daily_Recovered","Daily_Deceased"
2021-04-27,"Rajasthan","Ajmer",25989,20458,258,0,261215,630,566,4
2021-04-27,"Rajasthan","Alwar",34657,25139,103,0,291879,1358,591,5
2021-04-27,"Rajasthan","BSF Camp",85,85,0,0,NA,0,0,0
2021-04-27,"Rajasthan","Banswara",5992,3486,52,0,48781,280,45,1
2021-04-27,"Rajasthan","Baran",6026,3483,43,0,46168,271,110,0
2021-04-27,"Rajasthan","Barmer",7544,5207,67,0,113868,209,0,4
2021-04-27,"Rajasthan","Bharatpur",10979,9831,134,0,201441,139,67,3
2021-04-27,"Rajasthan","Bhilwara",19955,11962,52,0,148764,411,0,0
2021-04-27,"Rajasthan","Bikaner",26181,20275,216,0,278302,350,222,8
2021-04-27,"Rajasthan","Bundi",4807,3360,23,0,58167,205,26,0
2021-04-27,"Rajasthan","Chittorgarh",8750,6257,65,0,116002,305,234,1
2021-04-27,"Rajasthan","Churu",6889,4548,51,0,131700,111,40,1
2021-04-27,"Rajasthan","Dausa",5545,3625,34,0,61680,395,566,1
2021-04-27,"Rajasthan","Dholpur",7114,4724,31,0,121308,36,117,0
2021-04-27,"Rajasthan","Dungarpur",11513,9738,51,0,121917,229,287,2
2021-04-27,"Rajasthan","Evacuees",61,61,0,0,NA,0,0,0
2021-04-27,"Rajasthan","Ganganagar",9183,7217,49,0,80706,211,0,3
2021-04-27,"Rajasthan","Hanumangarh",6562,3513,15,0,82542,448,0,0
2021-04-27,"Rajasthan","Italians",2,2,0,0,NA,0,0,0
2021-04-27,"Rajasthan","Jaipur",100651,68325,659,0,968783,3289,989,21
2021-04-27,"Rajasthan","Jaisalmer",3732,2277,26,0,80082,178,0,0
2021-04-27,"Rajasthan","Jalore",7492,6108,63,0,184172,179,34,1
2021-04-27,"Rajasthan","Jhalawar",6419,4635,54,0,97163,227,60,2
2021-04-27,"Rajasthan","Jhunjhunu",6003,4769,64,0,123433,165,0,2
2021-04-27,"Rajasthan","Jodhpur",72807,53935,497,0,600959,1924,889,22
2021-04-27,"Rajasthan","Karauli",3341,1955,31,0,64481,178,100,0
2021-04-27,"Rajasthan","Kota",39600,30786,264,0,355509,701,832,6
2021-04-27,"Rajasthan","Nagaur",12670,11359,119,0,229822,178,101,1
2021-04-27,"Rajasthan","Other State",189,150,39,0,NA,0,0,0
2021-04-27,"Rajasthan","Pali",16591,12625,145,0,179463,501,281,5
2021-04-27,"Rajasthan","Pratapgarh",3498,1770,27,0,52208,214,23,1
2021-04-27,"Rajasthan","Rajsamand",9612,5633,69,0,91975,350,0,1
2021-04-27,"Rajasthan","Sawai Madhopur",6003,2405,34,0,84683,322,0,0
2021-04-27,"Rajasthan","Sikar",15036,9708,135,0,165042,750,105,6
2021-04-27,"Rajasthan","Sirohi",8560,4749,40,0,84616,276,123,4
2021-04-27,"Rajasthan","Tonk",5624,3886,43,0,74225,188,6,2
2021-04-27,"Rajasthan","Udaipur",31302,19930,253,0,251522,881,1012,14
2021-04-26,"Rajasthan","Ajmer",25359,19892,254,0,261215,640,258,2
2021-04-26,"Rajasthan","Alwar",33299,24548,98,0,291879,1621,271,2
2021-04-26,"Rajasthan","BSF Camp",85,85,0,0,NA,0,0,0
2021-04-26,"Rajasthan","Banswara",5712,3441,51,0,48781,605,58,2
2021-04-26,"Rajasthan","Baran",5755,3373,43,0,46168,201,120,1
2021-04-26,"Rajasthan","Barmer",7335,5207,63,0,113868,202,0,0
2021-04-26,"Rajasthan","Bharatpur",10840,9764,131,0,201441,101,89,2
2021-04-26,"Rajasthan","Bhilwara",19544,11962,52,0,148764,701,332,1
2021-04-26,"Rajasthan","Bikaner",25831,20053,208,0,278302,683,194,6
2021-04-26,"Rajasthan","Bundi",4602,3334,23,0,58167,121,30,0
2021-04-26,"Rajasthan","Chittorgarh",8445,6023,64,0,116002,220,134,2
2021-04-26,"Rajasthan","Churu",6778,4508,50,0,131700,179,33,0
2021-04-26,"Rajasthan","Dausa",5150,3059,33,0,61680,354,112,1
2021-04-26,"Rajasthan","Dholpur",7078,4607,31,0,121308,99,347,0
2021-04-26,"Rajasthan","Dungarpur",11284,9451,49,0,121917,134,74,2
2021-04-26,"Rajasthan","Evacuees",61,61,0,0,NA,0,0,0
2021-04-26,"Rajasthan","Ganganagar",8972,7217,46,0,80706,230,0,1
2021-04-26,"Rajasthan","Hanumangarh",6114,3513,15,0,82542,310,131,0
2021-04-26,"Rajasthan","Italians",2,2,0,0,NA,0,0,0
2021-04-26,"Rajasthan","Jaipur",97362,67336,638,0,968783,2878,961,11
2021-04-26,"Rajasthan","Jaisalmer",3554,2277,26,0,80082,176,28,0
2021-04-26,"Rajasthan","Jalore",7313,6074,62,0,184172,175,2,0
2021-04-26,"Rajasthan","Jhalawar",6192,4575,52,0,97163,204,33,3
2021-04-26,"Rajasthan","Jhunjhunu",5838,4769,62,0,123433,95,0,0
2021-04-26,"Rajasthan","Jodhpur",70883,53046,475,0,600959,1711,847,15
2021-04-26,"Rajasthan","Karauli",3163,1855,31,0,64481,112,0,1
2021-04-26,"Rajasthan","Kota",38899,29954,258,0,355509,955,996,5
2021-04-26,"Rajasthan","Nagaur",12492,11258,118,0,229822,124,78,2
2021-04-26,"Rajasthan","Other State",189,150,39,0,NA,0,0,0
2021-04-26,"Rajasthan","Pali",16090,12344,140,0,179463,794,93,3
2021-04-26,"Rajasthan","Pratapgarh",3284,1747,26,0,52208,139,52,1
2021-04-26,"Rajasthan","Rajsamand",9262,5633,68,0,91975,601,120,2
