"Date","Time","State.UnionTerritory","ConfirmedIndianNational","ConfirmedForeignNational","CFR","Recovery_Rate","Population_State","Cases_type","Cases_counts"
2020-01-30,"6:00 PM","Kerala",1,0,0,0,35699443,"Cured",0
2020-01-31,"6:00 PM","Kerala",1,0,0,0,35699443,"Cured",0
2020-02-01,"6:00 PM","Kerala",2,0,0,0,35699443,"Cured",0
2020-02-02,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-03,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-04,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-05,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-06,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-07,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-08,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-09,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-10,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-11,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-12,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-13,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-14,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-15,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-16,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-17,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-18,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-19,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-20,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-21,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-22,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-23,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-24,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-25,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-26,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-27,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
2020-02-28,"6:00 PM","Kerala",3,0,0,0,35699443,"Cured",0
