"Country.Region","Date","Cases_type","Cases_count","Cases_size"
"US",2021-01-02,"Daily_cases",301858,0.688023668207471
"United Kingdom",2021-01-02,"Daily_cases",57853,0.13186409926789
"India",2021-01-02,"Daily_cases",37256,0.0849174439065306
"Russia",2021-01-02,"Daily_cases",25938,0.0591203741691967
"Brazil",2021-01-02,"Daily_cases",15827,0.0360744144489119
"US",2021-01-02,"Daily_deaths",2396,0.586823414156258
"United Kingdom",2021-01-02,"Daily_deaths",445,0.108988488856233
"India",2021-01-02,"Daily_deaths",441,0.108008817046289
"Russia",2021-01-02,"Daily_deaths",437,0.107029145236346
"Italy",2021-01-02,"Daily_deaths",364,0.0891501347048739
"India",2021-01-02,"Daily_recovered",43849,0.329624813007886
"Brazil",2021-01-02,"Daily_recovered",37884,0.284784291910665
"Argentina",2021-01-02,"Daily_recovered",20416,0.153472603306096
"Russia",2021-01-02,"Daily_recovered",18812,0.141414900734437
"Germany",2021-01-02,"Daily_recovered",12066,0.0907033910409165
"US",2021-01-03,"Daily_cases",209317,0.649721880781217
"United Kingdom",2021-01-03,"Daily_cases",55157,0.171207832035858
"Russia",2021-01-03,"Daily_cases",23845,0.0740150979004482
"Brazil",2021-01-03,"Daily_cases",17341,0.0538266224655765
"India",2021-01-03,"Daily_cases",16504,0.0512285668169007
"US",2021-01-03,"Daily_deaths",1356,0.441693811074919
"Russia",2021-01-03,"Daily_deaths",495,0.161237785016287
"United Kingdom",2021-01-03,"Daily_deaths",455,0.148208469055375
"South Africa",2021-01-03,"Daily_deaths",402,0.130944625407166
"Mexico",2021-01-03,"Daily_deaths",362,0.117915309446254
"Germany",2021-01-03,"Daily_recovered",21341,0.24619874945202
"Russia",2021-01-03,"Daily_recovered",19658,0.2267829537851
"India",2021-01-03,"Daily_recovered",19557,0.225617775316675
"Italy",2021-01-03,"Daily_recovered",14746,0.170116056390023
"Colombia",2021-01-03,"Daily_recovered",11380,0.131284465056182
"US",2021-01-04,"Daily_cases",175858,0.570262110830434
"United Kingdom",2021-01-04,"Daily_cases",58923,0.191072082910426
"Spain",2021-01-04,"Daily_cases",30579,0.0991598055651937
"Russia",2021-01-04,"Daily_cases",23015,0.0746317055849744
"Brazil",2021-01-04,"Daily_cases",20006,0.0648742951089723
"US",2021-01-04,"Daily_deaths",1856,0.424422593185456
"Germany",2021-01-04,"Daily_deaths",957,0.218842899611251
"Mexico",2021-01-04,"Daily_deaths",544,0.124399725588841
"Brazil",2021-01-04,"Daily_deaths",543,0.124171049622685
"Russia",2021-01-04,"Daily_deaths",473,0.108163731991768
"Brazil",2021-01-04,"Daily_recovered",45873,0.338651094804294
"India",2021-01-04,"Daily_recovered",29091,0.214760294703893
"Germany",2021-01-04,"Daily_recovered",23291,0.171942594752617
"Russia",2021-01-04,"Daily_recovered",20997,0.155007456185681
"Italy",2021-01-04,"Daily_recovered",16206,0.119638559553515
"US",2021-01-05,"Daily_cases",230518,0.569775345607882
"United Kingdom",2021-01-05,"Daily_cases",61087,0.150989799222398
"Brazil",2021-01-05,"Daily_cases",56648,0.14001784579944
"Sweden",2021-01-05,"Daily_cases",32369,0.080007019677342
"Russia",2021-01-05,"Daily_cases",23955,0.0592099896929386
"US",2021-01-05,"Daily_deaths",3767,0.47725833016597
"Brazil",2021-01-05,"Daily_deaths",1171,0.148359305713924
"Mexico",2021-01-05,"Daily_deaths",1065,0.134929684530597
"Germany",2021-01-05,"Daily_deaths",1009,0.127834790320537
"United Kingdom",2021-01-05,"Daily_deaths",881,0.111617889268973
"Brazil",2021-01-05,"Daily_recovered",44800,0.341166973818481
"Germany",2021-01-05,"Daily_recovered",26869,0.204616415614481
"Russia",2021-01-05,"Daily_recovered",22308,0.169882876159435
"India",2021-01-05,"Daily_recovered",21314,0.162313233927837
"Italy",2021-01-05,"Daily_recovered",16023,0.122020500479766
"US",2021-01-06,"Daily_cases",249735,0.584016968495098
"Brazil",2021-01-06,"Daily_cases",63430,0.148334019307042
"United Kingdom",2021-01-06,"Daily_cases",62556,0.146290129461947
"Germany",2021-01-06,"Daily_cases",26663,0.0623526715557884
"France",2021-01-06,"Daily_cases",25232,0.0590062111801242
"US",2021-01-06,"Daily_deaths",3854,0.459849659945114
"Brazil",2021-01-06,"Daily_deaths",1242,0.148192339816251
"Mexico",2021-01-06,"Daily_deaths",1165,0.139004892017659
"Germany",2021-01-06,"Daily_deaths",1078,0.128624269180289
"United Kingdom",2021-01-06,"Daily_deaths",1042,0.124328839040687
"Brazil",2021-01-06,"Daily_recovered",38441,0.307828440557985
"Germany",2021-01-06,"Daily_recovered",23871,0.191154566857253
"Russia",2021-01-06,"Daily_recovered",22752,0.182193821169461
"Italy",2021-01-06,"Daily_recovered",20227,0.161974086708628
"India",2021-01-06,"Daily_recovered",19587,0.156849084706674
"US",2021-01-07,"Daily_cases",280229,0.551033129355503
"Brazil",2021-01-07,"Daily_cases",87843,0.172731598735233
"United Kingdom",2021-01-07,"Daily_cases",52787,0.103798628262203
"Germany",2021-01-07,"Daily_cases",45333,0.0891413267473139
"Spain",2021-01-07,"Daily_cases",42360,0.0832953168997467
"US",2021-01-07,"Daily_deaths",4194,0.462097840458352
"Brazil",2021-01-07,"Daily_deaths",1524,0.167915381225209
"United Kingdom",2021-01-07,"Daily_deaths",1162,0.128029969149405
"Germany",2021-01-07,"Daily_deaths",1152,0.126928162185985
"Mexico",2021-01-07,"Daily_deaths",1044,0.115028646981049
"Brazil",2021-01-07,"Daily_recovered",48235,0.374934900387877
"Russia",2021-01-07,"Daily_recovered",23379,0.181727024695101
"Germany",2021-01-07,"Daily_recovered",20837,0.161967834961795
"India",2021-01-07,"Daily_recovered",20539,0.159651454733422
"Italy",2021-01-07,"Daily_recovered",15659,0.121718785221805
"US",2021-01-08,"Daily_cases",283204,0.602228554416706
"United Kingdom",2021-01-08,"Daily_cases",68192,0.145009143877855
"Brazil",2021-01-08,"Daily_cases",52035,0.110651554459235
"France",2021-01-08,"Daily_cases",41373,0.0879789903457662
"Spain",2021-01-08,"Daily_cases",25456,0.0541317569004381
"US",2021-01-08,"Daily_deaths",3456,0.441717791411043
"United Kingdom",2021-01-08,"Daily_deaths",1333,0.170373210633947
"Mexico",2021-01-08,"Daily_deaths",1038,0.132668711656442
"Germany",2021-01-08,"Daily_deaths",1035,0.13228527607362
"Brazil",2021-01-08,"Daily_deaths",962,0.122955010224949
"Brazil",2021-01-08,"Daily_recovered",55296,0.433877877689374
"Russia",2021-01-08,"Daily_recovered",21576,0.169295230921331
"Italy",2021-01-08,"Daily_recovered",17575,0.137901542614127
"Colombia",2021-01-08,"Daily_recovered",16875,0.132409020290947
"Germany",2021-01-08,"Daily_recovered",16124,0.126516328484221
