"Updated.On","State","Total.Individuals.Vaccinated","Total.Sessions.Conducted","Total.Sites","First.Dose.Administered","Second.Dose.Administered","Male.Individuals.Vaccinated.","Female.Individuals.Vaccinated.","Transgender.Individuals.Vaccinated.","Total.Covaxin.Administered","Total.CoviShield.Administered","Total.Sputnik.V.Administered","AEFI","Total.Doses.Administered","Total.Individuals.Vaccinated_Dailycalc","Population"
2021-06-08,"India",189503126,11506400,41121,189503126,45449492,102100803,87370490,31833,27571289,207362449,18880,21899,234952618,2569355,1366400000
2021-06-08,"Andaman and Nicobar Islands",112917,2044,9,112917,15278,60801,52107,9,0,128195,0,3,128195,410,417036
2021-06-08,"Andhra Pradesh",8472406,480348,969,8472406,2587589,4302407,4168673,1326,2048032,9009451,2512,330,11059995,42519,53903393
2021-06-08,"Arunachal Pradesh",311287,16884,94,311287,78725,171930,139248,109,0,390012,0,271,390012,5265,1570458
2021-06-08,"Assam",3590740,191115,937,3590740,860620,1946092,1644062,586,854926,3596434,0,183,4451360,56508,35607039
2021-06-08,"Bihar",9362801,720074,2433,9362801,1868791,5162706,4198274,1821,1012409,10219183,0,197,11231592,85165,124799926
2021-06-08,"Chandigarh",309608,10885,49,309608,75311,174297,135266,45,0,384919,0,138,384919,1482,1158473
2021-06-08,"Chhattisgarh",5157533,250109,1323,5157533,1139382,2521811,2635146,576,212820,6084095,0,564,6296915,2351,29436231
2021-06-08,"Dadra and Nagar Haveli and Daman and Diu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2021-06-08,"Delhi",4445352,162885,767,4445352,1340877,2580204,1864259,889,1760273,4025956,0,953,5786229,25755,18710922
2021-06-08,"Goa",495452,33713,91,495452,96726,253581,241827,44,10469,581709,0,571,592178,10281,1586250
2021-06-08,"Gujarat",14587473,486743,2272,14587473,4362428,7886709,6698709,2055,2249623,16700278,0,1007,18949901,227932,63872399
2021-06-08,"Haryana",5319508,240265,963,5319508,1031151,2907378,2411156,974,924399,5426260,0,866,6350659,43140,28204692
2021-06-08,"Himachal Pradesh",2114649,47087,302,2114649,434777,1063833,1050436,380,0,2549426,0,676,2549426,12547,7451955
2021-06-08,"Jammu and Kashmir",2955248,237518,1053,2955248,573208,1726658,1228036,554,65729,3462727,0,124,3528456,22944,13606320
2021-06-08,"Jharkhand",3918642,289535,1312,3918642,755050,2124673,1793328,641,659466,4014226,0,768,4673692,54465,38593948
2021-06-08,"Karnataka",12847608,1565975,4827,12847608,2912234,6605473,6240139,1996,1726068,14032950,824,2542,15759842,235001,67562686
2021-06-08,"Kerala",8503125,428385,1394,8503125,2188883,4069339,4432407,1379,860159,9831827,22,2400,10692008,201059,35699443
2021-06-08,"Ladakh",144376,5640,21,144376,37338,76132,68226,18,0,181714,0,4,181714,1433,289023
2021-06-08,"Lakshadweep",34466,12700,10,34466,6989,18921,15543,2,0,41455,0,0,41455,1148,65840
2021-06-08,"Madhya Pradesh",11361743,164192,472,11361743,1855629,6349177,5010475,2091,1791652,11425720,0,609,13217372,62547,85358965
2021-06-08,"Maharashtra",19794750,1092184,4096,19794750,4934039,10636491,9155468,2791,3085680,21642671,438,4009,24728789,197252,123144223
2021-06-08,"Manipur",440535,17038,108,440535,71104,243702,196708,125,0,511639,0,79,511639,6936,3091545
2021-06-08,"Meghalaya",404762,28316,209,404762,74531,210606,194115,41,0,479293,0,272,479293,1001,3366710
2021-06-08,"Mizoram",279959,5691,20,279959,51576,144446,135491,22,0,331535,0,746,331535,3640,1239244
2021-06-08,"Nagaland",249356,25446,148,249356,52155,143879,105451,26,0,301511,0,36,301511,9788,2249695
2021-06-08,"Odisha",7068512,293597,1210,7068512,1545376,3772584,3294707,1221,904297,7709591,0,286,8613888,130326,46356334
2021-06-08,"Puducherry",248250,23567,60,248250,52002,129078,119138,34,74,300178,0,19,300252,5670,1413542
2021-06-08,"Punjab",4207220,451478,1473,4207220,803148,2376346,1830375,499,479333,4531035,0,132,5010368,44092,30141373
2021-06-08,"Rajasthan",14759272,788356,2697,14759272,3281407,7721038,7035923,2311,1450499,16590180,0,487,18040679,144118,81032689
2021-06-08,"Sikkim",180973,2616,16,180973,59738,97299,83647,27,0,240711,0,219,240711,663,690251
2021-06-08,"Tamil Nadu",8076791,361855,980,8076791,2108750,4456160,3619550,1081,1712385,8473156,0,135,10185541,45106,77841267
2021-06-08,"Telangana",5728537,620748,969,5728537,1317547,3015701,2711725,1111,1208645,5822501,14938,382,7046084,174253,39362732
2021-06-08,"Tripura",1135952,62480,249,1135952,508430,588691,547098,163,15145,1629237,0,63,1644382,3555,4169794
2021-06-08,"Uttar Pradesh",17502314,1260031,6538,17502314,3678746,10017033,7480850,4431,2482109,18698951,0,1208,21181060,422390,237882725
2021-06-08,"Uttarakhand",2429187,85102,624,2429187,689462,1253703,1174928,556,125431,2993218,0,295,3118649,32899,11250858
2021-06-08,"West Bengal",12742698,1026098,2358,12742698,3974349,7157564,5583273,1861,1931666,14785235,146,1238,16717047,249761,99609303
2021-06-07,"India",186933771,12625429,45459,186933771,45129717,100656406,86246094,31271,27031124,205014564,17800,21820,232063488,3108813,1366400000
2021-06-07,"Andaman and Nicobar Islands",112507,2052,7,112507,15252,60589,51909,9,0,127759,0,3,127759,528,417036
2021-06-07,"Andhra Pradesh",8429887,641643,1198,8429887,2583734,4279146,4149418,1323,2027977,8983724,1920,330,11013621,136235,53903393
2021-06-07,"Arunachal Pradesh",306022,21473,118,306022,78679,169233,136682,107,0,384701,0,270,384701,7874,1570458
2021-06-07,"Assam",3534232,165567,891,3534232,855465,1916641,1617015,576,850547,3539150,0,182,4389697,44864,35607039
2021-06-07,"Bihar",9277636,756146,2563,9277636,1857101,5115446,4160390,1800,977551,10157186,0,197,11134737,94369,124799926
2021-06-07,"Chandigarh",308126,15320,61,308126,75227,173421,134661,44,0,383353,0,137,383353,3293,1158473
2021-06-07,"Chhattisgarh",5155182,266426,1417,5155182,1135800,2520678,2633928,576,210344,6080638,0,564,6290982,2212,29436231
2021-06-07,"Dadra and Nagar Haveli and Daman and Diu",203171,14890,72,203171,26085,130290,72845,36,0,229256,0,87,229256,5714,NA
2021-06-07,"Delhi",4419597,164270,832,4419597,1318290,2564846,1853867,884,1739312,3998575,0,952,5737887,33979,18710922
2021-06-07,"Goa",485171,35084,91,485171,96500,248239,236889,43,10208,571463,0,571,581671,11024,1586250
2021-06-07,"Gujarat",14359541,490969,2246,14359541,4326975,7755563,6601968,2010,2205473,16481043,0,1007,18686516,231469,63872399
2021-06-07,"Haryana",5276368,248291,909,5276368,1025740,2880382,2395017,969,917636,5384472,0,866,6302108,49864,28204692
2021-06-07,"Himachal Pradesh",2102102,49276,248,2102102,434457,1056077,1045649,376,0,2536559,0,675,2536559,11813,7451955
2021-06-07,"Jammu and Kashmir",2932304,246276,1089,2932304,569525,1714113,1217640,551,62823,3439006,0,123,3501829,22140,13606320
2021-06-07,"Jharkhand",3864177,283108,1311,3864177,749037,2092976,1770569,632,643971,3969243,0,757,4613214,57285,38593948
2021-06-07,"Karnataka",12612607,1607382,5113,12612607,2891920,6475386,6135260,1961,1702136,13801567,824,2542,15504527,279425,67562686
2021-06-07,"Kerala",8302066,387925,1269,8302066,2170983,3968931,4331808,1327,812130,9660897,22,2396,10473049,192499,35699443
2021-06-07,"Ladakh",142943,7000,25,142943,37326,75399,67527,17,0,180269,0,4,180269,2574,289023
2021-06-07,"Lakshadweep",33318,14920,10,33318,6983,18344,14972,2,0,40301,0,0,40301,1222,65840
2021-06-07,"Madhya Pradesh",11299196,847074,3132,11299196,1852071,6311278,4985842,2076,1783202,11368065,0,606,13151267,375248,85358965
2021-06-07,"Maharashtra",19597498,1105629,4274,19597498,4852866,10524604,9070141,2753,3012896,21437286,182,3992,24450364,237246,123144223
2021-06-07,"Manipur",433599,20722,128,433599,70995,239970,193508,121,0,504594,0,78,504594,12004,3091545
2021-06-07,"Meghalaya",403761,25451,196,403761,74503,209974,193746,41,0,478264,0,271,478264,1473,3366710
2021-06-07,"Mizoram",276319,6128,19,276319,51410,142722,133575,22,0,327729,0,736,327729,3998,1239244
2021-06-07,"Nagaland",239568,22844,127,239568,52098,138790,100757,21,0,291666,0,36,291666,9142,2249695
2021-06-07,"Odisha",6938186,311195,1292,6938186,1524332,3700967,3236034,1185,885641,7576877,0,281,8462518,146987,46356334
2021-06-07,"Puducherry",242580,20475,58,242580,51860,126064,116482,34,74,294366,0,19,294440,5180,1413542
2021-06-07,"Punjab",4163128,475585,1608,4163128,799072,2350961,1811676,491,474525,4487675,0,132,4962200,45987,30141373
2021-06-07,"Rajasthan",14615154,797458,2766,14615154,3256857,7644210,6968659,2285,1427733,16444278,0,487,17872011,101680,81032689
2021-06-07,"Sikkim",180310,2505,17,180310,59726,96981,83302,27,0,240036,0,219,240036,245,690251
2021-06-07,"Tamil Nadu",8031685,514480,1348,8031685,2104046,4428871,3601738,1076,1695583,8440148,0,133,10135731,59203,77841267
2021-06-07,"Telangana",5554284,564272,1010,5554284,1311182,2917140,2636054,1090,1175670,5674944,14852,382,6865466,162327,39362732
2021-06-07,"Tripura",1132397,53540,221,1132397,508241,586822,545412,163,15121,1625517,0,63,1640638,3785,4169794
2021-06-07,"Uttar Pradesh",17079924,1286409,6626,17079924,3655870,9770940,7304716,4268,2403994,18331800,0,1205,20735794,436222,237882725
2021-06-07,"Uttarakhand",2396288,90685,644,2396288,688567,1236105,1159644,539,117801,2967054,0,294,3084855,33472,11250858
2021-06-07,"West Bengal",12492937,1062959,2523,12492937,3960942,7014307,5476794,1836,1878776,14575103,0,1223,16453879,286231,99609303
2021-06-06,"India",183824958,7228531,24346,183824958,44799620,98907905,84886553,30500,26450908,202156935,16735,21706,228624578,1373610,1366400000
2021-06-06,"Andaman and Nicobar Islands",111979,9,2,111979,15223,60343,51627,9,0,127202,0,3,127202,8,417036
2021-06-06,"Andhra Pradesh",8293652,270807,556,8293652,2576319,4210095,4082255,1302,1962928,8905629,1414,330,10869971,62304,53903393
2021-06-06,"Arunachal Pradesh",298148,11068,62,298148,78613,165163,132879,106,0,376761,0,270,376761,3972,1570458
2021-06-06,"Assam",3489368,89359,457,3489368,850360,1893431,1595370,567,845915,3493813,0,182,4339728,21919,35607039
2021-06-06,"Bihar",9183267,680772,2514,9183267,1846767,5062126,4119362,1779,944593,10085441,0,197,11030034,99798,124799926
2021-06-06,"Chandigarh",304833,8840,28,304833,75110,171504,133285,44,0,379943,0,134,379943,2058,1158473
2021-06-06,"Chhattisgarh",5152970,262645,1355,5152970,1132655,2519562,2632832,576,207896,6077729,0,564,6285625,1565,29436231
2021-06-06,"Dadra and Nagar Haveli and Daman and Diu",197457,4090,35,197457,26067,126481,70941,35,0,223524,0,87,223524,479,NA
2021-06-06,"Delhi",4385618,39643,93,4385618,1285879,2544645,1840095,878,1708860,3962637,0,950,5671497,14543,18710922
2021-06-06,"Goa",474147,33620,82,474147,96287,242518,231588,41,9941,560493,0,571,570434,6618,1586250
2021-06-06,"Gujarat",14128072,444175,2087,14128072,4299619,7623531,6502596,1945,2181397,16246294,0,1005,18427691,212889,63872399
2021-06-06,"Haryana",5226504,109656,430,5226504,1020217,2848479,2377082,943,908760,5337961,0,866,6246721,20600,28204692
2021-06-06,"Himachal Pradesh",2090289,5160,30,2090289,434204,1049178,1040736,375,0,2524493,0,675,2524493,1236,7451955
2021-06-06,"Jammu and Kashmir",2910164,224102,954,2910164,565974,1701733,1207888,543,59759,3416379,0,123,3476138,13804,13606320
2021-06-06,"Jharkhand",3806892,374040,1708,3806892,742873,2060048,1746230,614,630289,3919476,0,714,4549765,74873,38593948
2021-06-06,"Karnataka",12333182,1144187,3719,12333182,2870122,6321434,6009848,1900,1676132,13526684,488,2541,15203304,126999,67562686
2021-06-06,"Kerala",8109567,119620,341,8109567,2160564,3864762,4243531,1274,780025,9490084,22,2390,10270131,51595,35699443
2021-06-06,"Ladakh",140369,0,0,140369,37312,74251,66101,17,0,177681,0,4,177681,3,289023
2021-06-06,"Lakshadweep",32096,13350,9,32096,6975,17712,14382,2,0,39071,0,0,39071,774,65840
2021-06-06,"Madhya Pradesh",10923948,361260,1190,10923948,1835190,6091184,4830791,1973,1749629,11009509,0,584,12759138,127060,85358965
2021-06-06,"Maharashtra",19360252,572555,1665,19360252,4785180,10392910,8964619,2723,2954409,21190978,45,3976,24145432,82225,123144223
2021-06-06,"Manipur",421595,554,5,421595,70916,233882,187603,110,0,492511,0,78,492511,107,3091545
2021-06-06,"Meghalaya",402288,100,1,402288,74462,209065,193182,41,0,476750,0,270,476750,7,3366710
2021-06-06,"Mizoram",272321,0,0,272321,51215,140615,131685,21,0,323536,0,735,323536,1,1239244
2021-06-06,"Nagaland",230426,4650,18,230426,52055,134016,96391,19,0,282481,0,36,282481,585,2249695
2021-06-06,"Odisha",6791199,22924,116,6791199,1505057,3620650,3169400,1149,868695,7427561,0,277,8296256,13098,46356334
2021-06-06,"Puducherry",237400,20555,57,237400,51691,123195,114172,33,74,289017,0,19,289091,2514,1413542
2021-06-06,"Punjab",4117141,359050,1113,4117141,794847,2325212,1791444,485,469698,4442290,0,132,4911988,37840,30141373
2021-06-06,"Rajasthan",14513474,592655,2001,14513474,3229701,7592715,6918489,2270,1406072,16337103,0,486,17743175,68512,81032689
2021-06-06,"Sikkim",180065,200,1,180065,59714,96907,83131,27,0,239779,0,219,239779,151,690251
2021-06-06,"Tamil Nadu",7972482,403493,1109,7972482,2097011,4394275,3577141,1066,1661068,8408425,0,132,10069493,47782,77841267
2021-06-06,"Telangana",5391957,361542,707,5391957,1303631,2824463,2566418,1076,1143102,5537720,14766,382,6695588,117159,39362732
2021-06-06,"Tripura",1128612,20740,60,1128612,508061,584922,543527,163,15121,1621552,0,63,1636673,1013,4169794
2021-06-06,"Uttar Pradesh",16643702,127375,372,16643702,3629100,9517213,7122391,4098,2330233,17942569,0,1203,20272802,18777,237882725
2021-06-06,"Uttarakhand",2362816,65942,453,2362816,687406,1218610,1143693,513,110541,2939681,0,294,3050222,24108,11250858
