"Updated.On","State","First.Dose.Administered","Second.Dose.Administered","Daily_First_dose","Daily_Second_dose"
2021-07-09,"India",297184419,69894633,2071121,1141754
2021-07-09,"Andaman and Nicobar Islands",164079,51646,795,6336
2021-07-09,"Andhra Pradesh",13372990,3379660,25571,11168
2021-07-09,"Arunachal Pradesh",583021,108393,8423,3430
2021-07-09,"Assam",6462249,1328646,52913,7681
2021-07-09,"Bihar",15741778,2638686,262299,55007
2021-07-09,"Chandigarh",483886,110610,4351,3491
2021-07-09,"Chhattisgarh",7438953,1819709,64193,42342
2021-07-09,"Dadra and Nagar Haveli and Daman and Diu",458057,57874,7122,1745
2021-07-09,"Delhi",6761634,2049318,95352,35848
2021-07-09,"Goa",904928,158118,8805,6753
2021-07-09,"Gujarat",21193413,6159886,3436,2810
2021-07-09,"Haryana",8055066,1713049,64060,45745
2021-07-09,"Himachal Pradesh",3419934,838929,5855,32872
2021-07-09,"Jammu and Kashmir",4271861,816643,18211,6384
2021-07-09,"Jharkhand",6318405,1254797,16886,6747
2021-07-09,"Karnataka",20709063,4567570,214472,120347
2021-07-09,"Kerala",11454395,3958201,61273,129909
2021-07-09,"Ladakh",180257,60561,1083,146
2021-07-09,"Lakshadweep",47830,10455,113,328
2021-07-09,"Madhya Pradesh",19555644,3673640,15161,4699
2021-07-09,"Maharashtra",28386677,7588502,136511,65857
2021-07-09,"Manipur",770529,83775,11692,1488
2021-07-09,"Meghalaya",705803,96026,9660,2206
2021-07-09,"Mizoram",580502,86722,8097,9511
2021-07-09,"Nagaland",500263,86692,7543,4040
2021-07-09,"Odisha",10682934,2693371,59815,41417
2021-07-09,"Puducherry",473954,100981,3072,5338
2021-07-09,"Punjab",6002896,1329095,8378,5748
2021-07-09,"Rajasthan",21609462,4589818,34383,41994
2021-07-09,"Sikkim",440417,115683,3683,5642
2021-07-09,"Tamil Nadu",14417332,2918151,54144,38672
2021-07-09,"Telangana",10353167,1919683,103625,63041
2021-07-09,"Tripura",2043269,637852,11810,6699
2021-07-09,"Uttar Pradesh",31124499,5689686,588905,157367
2021-07-09,"Uttarakhand",3882032,982216,16627,11332
2021-07-09,"West Bengal",17633240,6219989,82802,157614
2021-07-08,"India",295113298,68752879,2786752,1351180
2021-07-08,"Andaman and Nicobar Islands",163284,45310,911,4818
2021-07-08,"Andhra Pradesh",13347419,3368492,25134,13988
2021-07-08,"Arunachal Pradesh",574598,104963,8775,3658
2021-07-08,"Assam",6409336,1320965,6860,2936
2021-07-08,"Bihar",15479479,2583679,366411,86647
2021-07-08,"Chandigarh",479535,107119,3459,2460
2021-07-08,"Chhattisgarh",7374760,1777367,53216,33512
2021-07-08,"Dadra and Nagar Haveli and Daman and Diu",450935,56129,6715,1522
2021-07-08,"Delhi",6666282,2013470,111431,47565
2021-07-08,"Goa",896123,151365,7095,4289
2021-07-08,"Gujarat",21189977,6157076,3490,3536
2021-07-08,"Haryana",7991006,1667304,23128,17791
2021-07-08,"Himachal Pradesh",3414079,806057,7212,39896
2021-07-08,"Jammu and Kashmir",4253650,810259,44504,15734
2021-07-08,"Jharkhand",6301519,1248050,24762,9357
2021-07-08,"Karnataka",20494591,4447223,139842,62818
2021-07-08,"Kerala",11393122,3828292,36847,63982
2021-07-08,"Ladakh",179174,60415,1046,238
2021-07-08,"Lakshadweep",47717,10127,155,365
2021-07-08,"Madhya Pradesh",19540483,3668941,552505,170151
2021-07-08,"Maharashtra",28250166,7522645,203686,124636
2021-07-08,"Manipur",758837,82287,23479,1185
2021-07-08,"Meghalaya",696143,93820,11834,2924
2021-07-08,"Mizoram",572405,77211,10041,7462
2021-07-08,"Nagaland",492720,82652,6250,4152
2021-07-08,"Odisha",10623119,2651954,82107,62975
2021-07-08,"Puducherry",470882,95643,2988,5469
2021-07-08,"Punjab",5994518,1323347,16672,10557
2021-07-08,"Rajasthan",21575079,4547824,82493,102890
2021-07-08,"Sikkim",436734,110041,3747,5561
2021-07-08,"Tamil Nadu",14363188,2879479,83596,65545
2021-07-08,"Telangana",10249542,1856642,66693,46796
2021-07-08,"Tripura",2031459,631153,9271,4770
2021-07-08,"Uttar Pradesh",30535594,5532319,643149,157301
2021-07-08,"Uttarakhand",3865405,970884,21521,13260
2021-07-08,"West Bengal",17550438,6062375,95727,150434
2021-07-07,"India",292326546,67401699,2193681,1341615
2021-07-07,"Andaman and Nicobar Islands",162373,40492,973,5417
2021-07-07,"Andhra Pradesh",13322285,3354504,23689,19176
2021-07-07,"Arunachal Pradesh",565823,101305,9201,3895
2021-07-07,"Assam",6402476,1318029,5576,2315
2021-07-07,"Bihar",15113068,2497032,66165,17090
2021-07-07,"Chandigarh",476076,104659,4038,2513
2021-07-07,"Chhattisgarh",7321544,1743855,13866,7014
2021-07-07,"Dadra and Nagar Haveli and Daman and Diu",444220,54607,6870,1698
2021-07-07,"Delhi",6554851,1965905,11805,10572
2021-07-07,"Goa",889028,147076,8854,5815
2021-07-07,"Gujarat",21186487,6153540,5297,2978
2021-07-07,"Haryana",7967878,1649513,19442,16063
2021-07-07,"Himachal Pradesh",3406867,766161,8847,48359
2021-07-07,"Jammu and Kashmir",4209146,794525,61159,14045
2021-07-07,"Jharkhand",6276757,1238693,48829,22131
2021-07-07,"Karnataka",20354749,4384405,184873,77039
2021-07-07,"Kerala",11356275,3764310,33514,24755
2021-07-07,"Ladakh",178128,60177,368,482
2021-07-07,"Lakshadweep",47562,9762,94,475
2021-07-07,"Madhya Pradesh",18987978,3498790,195944,262329
2021-07-07,"Maharashtra",28046480,7398009,386569,255378
2021-07-07,"Manipur",735358,81102,28480,2289
2021-07-07,"Meghalaya",684309,90896,9482,2128
2021-07-07,"Mizoram",562364,69749,7475,4102
2021-07-07,"Nagaland",486470,78500,7962,4883
2021-07-07,"Odisha",10541012,2588979,122170,84318
2021-07-07,"Puducherry",467894,90174,3961,5514
2021-07-07,"Punjab",5977846,1312790,124833,70159
2021-07-07,"Rajasthan",21492586,4444934,38151,51135
2021-07-07,"Sikkim",432987,104480,4475,5522
2021-07-07,"Tamil Nadu",14279592,2813934,55068,21236
2021-07-07,"Telangana",10182849,1809846,9105,17260
2021-07-07,"Tripura",2022188,626383,4245,1724
2021-07-07,"Uttar Pradesh",29892445,5375018,587437,166292
2021-07-07,"Uttarakhand",3843884,957624,22826,16113
2021-07-07,"West Bengal",17454711,5911941,72038,89401
2021-07-06,"India",290132865,66060084,2544057,1236603
2021-07-06,"Andaman and Nicobar Islands",161400,35075,1108,5939
2021-07-06,"Andhra Pradesh",13298596,3335328,34026,17775
2021-07-06,"Arunachal Pradesh",556622,97410,7096,3427
2021-07-06,"Assam",6396900,1315714,16721,5736
2021-07-06,"Bihar",15046903,2479942,111836,30914
2021-07-06,"Chandigarh",472038,102146,4841,2742
2021-07-06,"Chhattisgarh",7307678,1736841,27851,14918
2021-07-06,"Dadra and Nagar Haveli and Daman and Diu",437350,52909,7233,2042
2021-07-06,"Delhi",6543046,1955333,19164,15526
2021-07-06,"Goa",880174,141261,9721,4726
2021-07-06,"Gujarat",21181190,6150562,143904,69559
2021-07-06,"Haryana",7948436,1633450,40717,25232
2021-07-06,"Himachal Pradesh",3398020,717802,10225,58504
2021-07-06,"Jammu and Kashmir",4147987,780480,46110,10003
2021-07-06,"Jharkhand",6227928,1216562,101095,42315
2021-07-06,"Karnataka",20169876,4307366,204066,87614
2021-07-06,"Kerala",11322761,3739555,61491,53824
2021-07-06,"Ladakh",177760,59695,1460,568
2021-07-06,"Lakshadweep",47468,9287,225,324
2021-07-06,"Madhya Pradesh",18792034,3236461,3209,9073
2021-07-06,"Maharashtra",27659911,7142631,241736,156316
2021-07-06,"Manipur",706878,78813,24908,1360
2021-07-06,"Meghalaya",674827,88768,13329,2869
2021-07-06,"Mizoram",554889,65647,6027,2684
2021-07-06,"Nagaland",478508,73617,8537,4646
2021-07-06,"Odisha",10418842,2504661,201200,135437
2021-07-06,"Puducherry",463933,84660,3339,6158
2021-07-06,"Punjab",5853013,1242631,17509,7693
2021-07-06,"Rajasthan",21454435,4393799,17884,8904
2021-07-06,"Sikkim",428512,98958,5458,6764
2021-07-06,"Tamil Nadu",14224524,2792698,71246,25418
2021-07-06,"Telangana",10173744,1792586,96283,39878
2021-07-06,"Tripura",2017943,624659,8730,3824
2021-07-06,"Uttar Pradesh",29305008,5208726,832186,197680
2021-07-06,"Uttarakhand",3821058,941511,46840,27744
2021-07-06,"West Bengal",17382673,5822540,96746,148467
2021-07-05,"India",287588808,64823481,2838325,1807717
2021-07-05,"Andaman and Nicobar Islands",160292,29136,950,3963
2021-07-05,"Andhra Pradesh",13264570,3317553,76212,46089
2021-07-05,"Arunachal Pradesh",549526,93983,10750,3735
2021-07-05,"Assam",6380179,1309978,50201,10450
2021-07-05,"Bihar",14935067,2449028,99783,28576
2021-07-05,"Chandigarh",467197,99404,5757,2694
2021-07-05,"Chhattisgarh",7279827,1721923,62010,34995
2021-07-05,"Dadra and Nagar Haveli and Daman and Diu",430117,50867,8086,2454
2021-07-05,"Delhi",6523882,1939807,51731,29119
2021-07-05,"Goa",870453,136535,10551,5957
2021-07-05,"Gujarat",21037286,6081003,201740,100750
2021-07-05,"Haryana",7907719,1608218,67656,38522
2021-07-05,"Himachal Pradesh",3387795,659298,9476,51612
2021-07-05,"Jammu and Kashmir",4101877,770477,50645,15825
2021-07-05,"Jharkhand",6126833,1174247,73678,27622
2021-07-05,"Karnataka",19965810,4219752,261822,133150
2021-07-05,"Kerala",11261270,3685731,81318,75231
2021-07-05,"Ladakh",176300,59127,1853,779
2021-07-05,"Lakshadweep",47243,8963,159,373
2021-07-05,"Madhya Pradesh",18788825,3227388,5405,408372
2021-07-05,"Maharashtra",27418175,6986315,236931,91531
2021-07-05,"Manipur",681970,77453,28683,1531
2021-07-05,"Meghalaya",661498,85899,11021,2020
2021-07-05,"Mizoram",548862,62963,8156,3290
2021-07-05,"Nagaland",469971,68971,8486,3543
2021-07-05,"Odisha",10217642,2369224,200424,149158
2021-07-05,"Puducherry",460594,78502,4845,4742
2021-07-05,"Punjab",5835504,1234938,35211,17510
2021-07-05,"Rajasthan",21436551,4384895,34605,17191
2021-07-05,"Sikkim",423054,92194,6657,7011
2021-07-05,"Tamil Nadu",14153278,2767280,138427,34933
2021-07-05,"Telangana",10077461,1752708,132033,49783
2021-07-05,"Tripura",2009213,620835,8933,5724
2021-07-05,"Uttar Pradesh",28472822,5011046,670304,184509
2021-07-05,"Uttarakhand",3774218,913767,63888,35187
2021-07-05,"West Bengal",17285927,5674073,119938,179786
2021-07-04,"India",284750483,63015764,1223466,488759
2021-07-04,"Andaman and Nicobar Islands",159342,25173,12,400
2021-07-04,"Andhra Pradesh",13188358,3271464,15490,3050
2021-07-04,"Arunachal Pradesh",538776,90248,4526,787
2021-07-04,"Assam",6329978,1299528,27437,4948
2021-07-04,"Bihar",14835284,2420452,112155,25008
2021-07-04,"Chandigarh",461440,96710,4806,1758
2021-07-04,"Chhattisgarh",7217817,1686928,50393,30852
2021-07-04,"Dadra and Nagar Haveli and Daman and Diu",422031,48413,3315,780
2021-07-04,"Delhi",6472151,1910688,5655,3852
2021-07-04,"Goa",859902,130578,7027,2770
2021-07-04,"Gujarat",20835546,5980253,182520,80488
2021-07-04,"Haryana",7840063,1569696,34394,15070
2021-07-04,"Himachal Pradesh",3378319,607686,82,34
2021-07-04,"Jammu and Kashmir",4051232,754652,38159,7966
2021-07-04,"Jharkhand",6053155,1146625,104775,35640
2021-07-04,"Karnataka",19703988,4086602,102184,49200
2021-07-04,"Kerala",11179952,3610500,17135,8779
2021-07-04,"Ladakh",174447,58348,644,18
