"Date","State.UnionTerritory","Daily_confirmed"
2021-12-23,"Haryana",46
2021-12-23,"Maharashtra",1179
2021-12-23,"Delhi",118
2021-12-22,"Haryana",55
2021-12-22,"Maharashtra",1201
2021-12-22,"Delhi",125
2021-12-21,"Haryana",43
2021-12-21,"Maharashtra",825
2021-12-21,"Delhi",102
2021-12-20,"Haryana",31
2021-12-20,"Maharashtra",544
2021-12-20,"Delhi",91
2021-12-19,"Haryana",33
2021-12-19,"Maharashtra",902
2021-12-19,"Delhi",107
2021-12-18,"Haryana",23
2021-12-18,"Maharashtra",854
2021-12-18,"Delhi",86
2021-12-17,"Haryana",27
2021-12-17,"Maharashtra",902
2021-12-17,"Delhi",69
2021-12-16,"Haryana",28
2021-12-16,"Maharashtra",877
2021-12-16,"Delhi",85
2021-12-15,"Haryana",31
2021-12-15,"Maharashtra",925
2021-12-15,"Delhi",57
2021-12-14,"Haryana",23
2021-12-14,"Maharashtra",684
2021-12-14,"Delhi",45
2021-12-13,"Haryana",13
2021-12-13,"Maharashtra",569
2021-12-13,"Delhi",30
2021-12-12,"Haryana",30
2021-12-12,"Maharashtra",704
2021-12-12,"Delhi",56
2021-12-11,"Haryana",23
2021-12-11,"Maharashtra",807
2021-12-11,"Delhi",52
2021-12-10,"Haryana",27
2021-12-10,"Maharashtra",695
2021-12-10,"Delhi",41
2021-12-09,"Haryana",35
2021-12-09,"Maharashtra",789
2021-12-09,"Delhi",55
2021-12-08,"Haryana",29
2021-12-08,"Maharashtra",893
2021-12-08,"Delhi",65
2021-12-07,"Haryana",24
2021-12-07,"Maharashtra",699
2021-12-07,"Delhi",51
2021-12-06,"Haryana",32
2021-12-06,"Maharashtra",518
2021-12-06,"Delhi",40
2021-12-05,"Haryana",22
2021-12-05,"Maharashtra",707
2021-12-05,"Delhi",63
2021-12-04,"Haryana",17
2021-12-04,"Maharashtra",782
2021-12-04,"Delhi",51
2021-12-03,"Haryana",20
2021-12-03,"Maharashtra",68
2021-12-03,"Delhi",54
2021-12-02,"Haryana",27
2021-12-02,"Maharashtra",796
2021-12-02,"Delhi",217
2021-12-01,"Haryana",24
2021-12-01,"Maharashtra",767
2021-12-01,"Delhi",39
2021-11-30,"Haryana",17
2021-11-30,"Maharashtra",678
2021-11-30,"Delhi",34
2021-11-29,"Haryana",16
2021-11-29,"Maharashtra",536
2021-11-29,"Delhi",34
2021-11-28,"Haryana",22
2021-11-28,"Maharashtra",832
2021-11-28,"Delhi",32
2021-11-27,"Haryana",11
2021-11-27,"Maharashtra",889
2021-11-27,"Delhi",27
2021-11-26,"Haryana",21
2021-11-26,"Maharashtra",466
2021-11-26,"Delhi",23
2021-11-25,"Haryana",17
2021-11-25,"Maharashtra",0
2021-11-25,"Delhi",30
2021-11-24,"Haryana",23
2021-11-24,"Maharashtra",960
2021-11-24,"Delhi",35
