"id","customer_age","gender","education_level","income_category","total_relationship_count","months_inactive_12_mon","credit_limit","total_revolving_bal","total_amt_chng_q4_q1","total_trans_amt","total_trans_ct","total_ct_chng_q4_q1","avg_utilization_ratio","churned"
9168,46,"F","Graduate","Less than $40K",3,3,2171,1418,0.505,1415,45,0.406,0.653,"No"
2187,51,"M","Unknown","$80K - $120K",3,1,11373,1319,0.693,1976,35,0.75,0.116,"No"
5659,48,"M","Graduate","$80K - $120K",4,2,14322,0,0.602,3993,75,0.531,0,"No"
447,57,"M","Uneducated","$40K - $60K",5,3,12291,2289,0.685,1683,50,0.471,0.186,"No"
6342,39,"F","High School","Less than $40K",5,2,1862,726,0.63,5105,79,1.026,0.39,"No"
496,56,"F","Uneducated","Less than $40K",4,3,3219,2114,0.655,4188,75,0.667,0.657,"No"
7064,33,"M","High School","$120K +",6,3,27499,1188,0.544,2202,46,0.394,0.043,"No"
3978,48,"M","Unknown","$80K - $120K",1,2,34516,1723,0.628,13853,98,0.782,0.05,"No"
13,41,"F","High School","Less than $40K",4,3,2372,0,0.597,2499,41,0.464,0,"Yes"
8242,46,"F","Graduate","$40K - $60K",4,3,3115,1136,0.499,3704,70,0.458,0.365,"No"
22,55,"M","Graduate","$60K - $80K",5,2,2145,1207,0.521,1275,31,0.476,0.563,"No"
2034,37,"F","High School","Less than $40K",4,2,2448,1740,0.901,4087,81,0.841,0.711,"No"
6234,52,"F","Unknown","$40K - $60K",5,3,6053,577,0.85,5035,64,1.37,0.095,"No"
8139,65,"F","High School","Less than $40K",3,2,3198,2493,0.665,1936,44,1.316,0.78,"No"
5518,45,"F","Graduate","Less than $40K",1,2,1979,1305,0.702,5458,84,0.75,0.659,"No"
2416,56,"M","Uneducated","$60K - $80K",5,3,2253,1375,0.388,1324,38,0.31,0.61,"No"
8302,41,"F","Uneducated","Less than $40K",5,3,7764,621,0.67,3955,72,0.756,0.08,"No"
5711,31,"M","Unknown","$40K - $60K",1,3,5590,875,0.86,14643,127,0.764,0.157,"No"
9911,50,"F","Uneducated","Less than $40K",3,3,8520,814,0.504,1193,35,0.346,0.096,"No"
1573,50,"M","High School","$40K - $60K",5,3,5530,2034,0.647,4836,68,0.744,0.368,"No"
8623,46,"F","Unknown","Less than $40K",6,4,2711,1793,0.681,5084,79,0.717,0.661,"No"
4265,52,"F","College","Less than $40K",4,1,3433,2486,0.838,4831,78,0.529,0.724,"No"
9834,48,"M","Graduate","$80K - $120K",6,1,13551,1294,0.791,1388,37,1.056,0.095,"No"
6219,26,"M","College","$40K - $60K",3,4,2703,1256,0.949,2111,29,0.706,0.465,"No"
6728,38,"F","College","Less than $40K",1,2,3297,1554,0.605,4636,86,0.72,0.471,"No"
5209,48,"M","Graduate","$80K - $120K",3,2,34516,0,0.448,1122,13,0.182,0,"No"
5533,37,"F","High School","Less than $40K",5,1,4138,0,1.168,2420,50,0.613,0,"No"
3877,46,"M","College","$80K - $120K",1,4,4026,243,0.738,1102,27,0.8,0.06,"Yes"
3032,43,"F","Graduate","$40K - $60K",6,2,4343,0,0.563,1352,35,0.944,0,"No"
2095,57,"M","Graduate","$80K - $120K",6,2,5516,2517,0.473,1532,24,0.5,0.456,"No"
6897,45,"F","College","Less than $40K",1,2,1795,1058,0.778,5575,73,0.738,0.589,"No"
5361,56,"F","Graduate","Unknown",3,3,5335,996,0.469,1454,43,0.433,0.187,"No"
6297,49,"F","High School","Less than $40K",3,2,2951,2437,0.765,2519,36,0.565,0.826,"Yes"
2006,37,"M","Doctorate","$80K - $120K",5,2,12830,0,0.774,2526,54,0.588,0,"No"
2794,50,"F","High School","Less than $40K",1,3,1477,0,0.685,4680,80,0.778,0,"No"
9435,38,"F","High School","Less than $40K",2,6,3416,2517,0.925,14230,105,0.78,0.737,"No"
9503,44,"M","Graduate","$80K - $120K",4,1,34516,1726,0.867,1729,52,0.677,0.05,"No"
1952,35,"F","High School","Less than $40K",3,2,1555,872,0.772,2252,51,0.645,0.561,"Yes"
1837,58,"F","Graduate","Unknown",3,3,10247,1600,0.63,1754,44,0.692,0.156,"No"
7728,50,"M","Unknown","$60K - $80K",6,1,2966,1433,0.49,1986,50,0.613,0.483,"No"
8104,59,"F","Unknown","Less than $40K",4,1,1438.3,0,0.622,4155,62,0.632,0,"No"
7245,44,"F","Graduate","Less than $40K",3,2,4606,1556,0.676,4363,78,0.66,0.338,"No"
9579,54,"M","College","$80K - $120K",4,3,18750,1705,0.807,1200,36,0.895,0.091,"No"
6863,48,"M","College","$60K - $80K",2,3,15355,1823,0.809,15053,111,1.018,0.119,"No"
1785,51,"F","High School","Unknown",2,1,2319,1347,0.722,7558,85,0.491,0.581,"No"
771,64,"F","High School","Less than $40K",6,6,2609,1115,0.753,4546,59,0.903,0.427,"No"
5494,57,"F","Post-Graduate","$40K - $60K",3,4,4784,1629,0.706,4912,82,0.783,0.341,"No"
2642,65,"F","Uneducated","Less than $40K",3,4,1697,377,1.048,2799,49,0.485,0.222,"Yes"
4776,48,"F","Unknown","$40K - $60K",3,2,2485,1651,1.1,4351,86,0.83,0.664,"No"
920,42,"M","Post-Graduate","$40K - $60K",1,2,10531,2330,0.757,14955,118,0.662,0.221,"No"
3056,38,"F","Uneducated","Less than $40K",5,3,2264,0,0.479,1204,28,0.333,0,"No"
7511,55,"F","Graduate","Less than $40K",1,2,12094,1870,0.845,8285,106,0.738,0.155,"No"
5862,44,"M","Graduate","$60K - $80K",6,2,11338,0,0.695,1227,24,0.5,0,"No"
1313,61,"F","High School","Unknown",4,2,8476,0,0.675,3889,67,0.489,0,"No"
9757,58,"M","Unknown","$60K - $80K",6,2,20410,1196,0.726,3525,78,0.733,0.059,"No"
6696,51,"M","High School","$80K - $120K",6,1,14438,2517,0.853,2090,47,0.88,0.174,"No"
2824,40,"F","Graduate","Less than $40K",3,1,2628,1771,0.788,4316,72,0.6,0.674,"No"
4740,51,"M","Graduate","$80K - $120K",6,3,3458,1989,0.707,3409,59,1.034,0.575,"No"
3061,53,"M","Graduate","$80K - $120K",2,3,10301,2451,0.906,16359,111,0.657,0.238,"No"
