"location","iso_code","continent","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million"
"Argentina","ARG","Americas",2021-04-11,5313612,4586426,727186,112144,154158,11.76,10.15,1.61,3411
"Austria","AUT","Europe",2021-04-11,2117170,1491518,625652,25212,47369,23.51,16.56,6.95,5259
"Bahrain","BHR","Asia",2021-04-11,956471,565171,391300,17403,19870,56.21,33.21,23,11677
"Belgium","BEL","Europe",2021-04-11,2503818,1882165,621653,2677,54075,21.6,16.24,5.36,4666
"Brazil","BRA","Americas",2021-04-11,26741261,20654434,6086827,192416,810162,12.58,9.72,2.86,3811
"Bulgaria","BGR","Europe",2021-04-11,572662,459409,113253,1600,9870,8.24,6.61,1.63,1420
"Cambodia","KHM","Asia",2021-04-11,1286585,1018605,267980,48597,65222,7.7,6.09,1.6,3901
"Canada","CAN","Americas",2021-04-11,7996122,7198857,797265,181374,232002,21.19,19.07,2.11,6147
"Czechia","CZE","Europe",2021-04-11,2089570,1370805,718765,18125,39078,19.51,12.8,6.71,3649
"Denmark","DNK","Europe",2021-04-11,1314027,868461,445566,1,18428,22.69,14.99,7.69,3182
"Estonia","EST","Europe",2021-04-11,333835,259061,74774,1628,6005,25.17,19.53,5.64,4527
"Finland","FIN","Europe",2021-04-11,1219580,1124365,95215,33545,22284,22.01,20.29,1.72,4022
"Germany","DEU","Europe",2021-04-11,18231747,13196552,5035195,247428,457664,21.76,15.75,6.01,5462
"Hong Kong","HKG","Asia",2021-04-11,834773,578889,255884,43241,39819,11.13,7.72,3.41,5311
"Hungary","HUN","Europe",2021-04-11,4117641,2900383,1217258,84062,120256,42.62,30.02,12.6,12448
"India","IND","Asia",2021-04-11,104528565,91587400,12941165,2933418,3631915,7.57,6.64,0.94,2632
"Isle of Man","IMN","Europe",2021-04-11,61296,45855,15441,407,974,72.09,53.93,18.16,11455
